Company Name,Year,Advertising,Cash Flow from Operations,Current Assets,Current Liabilities,Earnings Before Tax,EBITDA,Inventories,Long Term Debt,Net Income,Net Property Plant & Equip,Operating Income,Research & Development,Selling General & Admin,Stockholders Equity,Total Assets,Total Liabilities,Total Revenue
Dow Inc,2020,-,6226000000,19084000000,11108000000,2089000000,5371000000,5701000000,16491000000,1225000000,20239000000,1609000000,768000000,1471000000,12435000000,61470000000,49035000000,38542000000
DTE Energy Co,2020,-,3697000000,3498000000,2691000000,1538000000,2349000000,716000000,19001000000,1368000000,27969000000,1986000000,-,0,12425000000,45496000000,33071000000,12177000000
Duke Energy Corp,2020,-,8856000000,8682000000,16305000000,2844000000,10460000000,3167000000,55625000000,1377000000,106782000000.00,4553000000,-,0,47964000000,162388000000.00,114424000000.00,23868000000
Duke Realty Corp,2020,-,566436000,206039000,214349000,285593000,674472000,-,3385051000,299915000,-,267744000,-,62404000,5162972000,9111394000,3948422000,993198000
DuPont de Nemours Inc,2020,-,4095000000,10877000000,4699000000,-3088000000,773000000,3726000000,21806000000,-2951000000,9985000000,-2996000000,860000000,2829000000,38504000000,70904000000,32400000000,20397000000
DXC Technology Co,2020,-,2350000000,8987000000,7895000000,-5228000000,-4367000000,-,8672000000,-5369000000,3547000000,-6362000000,-,2050000000,4785000000,26006000000,21221000000,19577000000
Eastman Chemical Co,2020,-,1455000000,3541000000,2038000000,530000000,1185000000,1379000000,5269000000,478000000,5549000000,741000000,226000000,654000000,6023000000,16083000000,10060000000,8473000000
Eaton Corp plc,2020,-,2944000000,9178000000,5881000000,1746000000,2303000000,2109000000,7010000000,1410000000,2964000000,1824000000,551000000,3075000000,14930000000,31824000000,16894000000,17858000000
eBay Inc.,2020,1200000000,2419000000,7190000000,4002000000,3420000000,4325000000,-,7745000000,5667000000,1358000000,2711000000,1087000000,3642000000,3561000000,19310000000,15749000000,10271000000
Ecolab Inc,2020,-,1860200000,5117400000,2932200000,1161400000,2045600000,1285200000,6669300000,-1205100000,3124900000,1395700000,185000000,3309100000,6166500000,18126000000,11959500000,11790200000
Edison International,2020,-,1263000000,5061000000,10277000000,566000000,3248000000,405000000,19632000000,739000000,47839000000,1217000000,-,0,14048000000,69372000000,55324000000,13578000000
Edwards Lifesciences Corp,2020,-,1054300000,3091000000,893900000,916700000,1010900000,802300000,595000000,823400000,1395200000,897600000,760700000,1228400000,4574300000,7237100000,2662800000,4386300000
"Electronic Arts, Inc.",2020,195000000,1797000000,6517000000,2664000000,1508000000,1594000000,-,397000000,3039000000,449000000,1445000000,1559000000,1137000000,7461000000,11112000000,3651000000,5537000000
Emerson Electric Co.,2020,-,3083000000,8806000000,5785000000,2335000000,3215000000,1928000000,6326000000,1965000000,3688000000,2491000000,439000000,3999000000,8405000000,22882000000,14477000000,16785000000
Enphase Energy Inc.,2020,-,216334000,933064000,534043000,119410000,147955000,41764000,4898000,133995000,42985000,186439000,55921000,103621000,483993000,1200102000,716109000,774425000
Entergy Corp,2020,-,2689866000,4559899000,7060506000,1285147000,3935742000,1135119000,21205761000,1406653000,38852777000,1769195000,-,0,11180552000,58239212000,47058660000,10113636000
"EOG Resources, Inc.",2020,-,5007783000,5862168000,3460104000,-739054000,2866565000,629401000,5035351000,-604572000,28598627000,-544016000,-,3181552000,20301887000,35804601000,15502714000,11032048000
Equifax Inc,2020,59000000,946200000,2478300000,2483100000,685200000,1226100000,-,3277300000,520100000,1139400000,676600000,-,1322500000,3168400000,9611800000,6443400000,4127500000
Equinix Inc,2020,-,2309826000,2609155000,2024750000,516225000,2337406000,-,12090347000,369777000,14503084000,1051627000,-,1809337000,10633988000,27006841000,16372853000,5998545000
Equity Residential,2020,-,1265536000,99728000,466004000,932403000,2121312000,-,8044256000,913636000,-,786183000,-,48305000,10525651000,20286891000,9761240000,2571705000
Essex Property Trust Inc,2020,-,803108000,426913000,326189000,534351000,1227081000,-,6251535000,568870000,-,426474000,-,99961000,6000410000,12936177000,6935767000,1495748000
Etsy Inc,2020,-,678956000,1894781000,454664000,365709000,443632000,-,1107278000,349246000,112495000,424009000,180080000,656791000,742424000,2404489000,1662065000,1725625000
Everest Re Group Ltd,2020,-,2873579000,-,-,585349000,-,-,-,514151000,-,-,-,-,9726176000,32788357000,23062181000,9598114000
Evergy Inc,2020,-,1753800000,1624300000,2355800000,723900000,1912500000,504500000,9190900000,618300000,20105900000,1143900000,-,0,8733400000,27114800000,18381400000,4913400000
Eversource Energy,2020,-,1682572000,3130143000,4915012000,1558872000,3078704000,265599000,15637312000,1205167000,30882523000,1988734000,-,535760000,14063566000,46099598000,32050556000,8904430000
Exelon Corp,2020,-,4235000000,12562000000,12771000000,2333000000,10804000000,1722000000,35483000000,1963000000,82584000000,2799000000,-,0,32585000000,129317000000.00,96732000000,33039000000
Expedia Group Inc,2020,1200000000,-3834000000,5634000000,5406000000,-3009000000,-1599000000,-,8216000000,-2612000000,2257000000,-2719000000,-,3143000000,2532000000,18690000000,16158000000,5199000000
"Expeditors International of Washington, Inc.",2020,-,655012000,3963544000,1893043000,956564000,1003108000,-,-,696140000,506425000,940437000,-,1726403000,2659637000,4927503000,2267866000,10116481000
Extra Space Storage Inc,2020,28336000,771232000,128009000,1079012000,509031000,883504000,-,4797303000,481779000,-,648065000,-,96594000,2547779000,9395848000,6848069000,1356212000
Exxon Mobil Corp,2020,-,14668000000,44893000000,56363000000,-28883000000,18284000000,18850000000,47182000000,-22440000000,227553000000.00,-27725000000,1016000000,37495000000,157150000000.00,332750000000.00,175600000000.00,181502000000.00
"F5 Networks, Inc.",2020,7800000,660898000,1793476000,1288279000,396397000,455897000,27898000,369047000,307441000,229239000,392267000,441324000,1101544000,2232268000,4677920000,2445652000,2350822000
Facebook Inc,2020,2260000000,38747000000,75670000000,14981000000,33180000000,38898000000,-,-,29146000000,45633000000,32671000000,18447000000,18155000000,128290000000.00,159316000000.00,31026000000,85965000000
Fastenal Co.,2020,-,1101800000,2499600000,612700000,1132700000,1304200000,1337500000,365000000,859100000,1030700000,1140400000,-,1427400000,2733200000,3964700000,1231500000,5647300000
Federal Realty Investment Trust (MD),2020,-,369929000,998001000,332868000,143950000,533372000,-,4291375000,131706000,-,191407000,-,41680000,2464157000,7607624000,5143467000,835494000
FedEx Corp,2020,427000000,5097000000,16383000000,10344000000,1669000000,5901000000,572000000,21952000000,1286000000,33608000000,2417000000,-,25031000000,18295000000,73537000000,55242000000,69217000000
Fidelity National Information Services Inc,2020,-,4442000000,9898000000,12361000000,266000000,852000000,-,15951000000,158000000,887000000,552000000,-,3516000000,49300000000,83842000000,34542000000,12552000000
"Fifth Third Bancorp (Cincinnati, OH)",2020,-,371000000,-,-,1797000000,-,-,-,1427000000,2088000000,-,-,-,23111000000,204680000000.00,181569000000.00,8402000000
"First Republic Bank (San Francisco, CA)",2020,-,531262000,-,-,1333965000,-,-,-,1064151000,403482000,-,-,-,11750646000,142502134000.00,130751488000.00,4506906000
FirstEnergy Corp,2020,-,1423000000,3714000000,5004000000,1129000000,3391000000,317000000,22131000000,1079000000,33294000000,2162000000,-,0,7237000000,44464000000,37227000000,10790000000
Fiserv Inc,2020,-,8294000000,16219000000,15637000000,1171000000,4536000000,-,20300000000,958000000,1628000000,1388000000,-,5652000000,32330000000,74619000000,42289000000,14852000000
FleetCor Technologies Inc,2020,28500000,1472589000,3956318000,3968311000,852517000,1047520000,-,3126926000,704216000,202509000,972265000,-,1163773000,3355411000,11194579000,7839168000,2388855000
FMC Corp.,2020,-,647800000,4375600000,2829000000,729800000,952500000,1095600000,2929500000,551500000,771700000,902200000,287900000,729700000,2961800000,10186400000,7224600000,4642100000
Ford Motor Co. (DE),2020,2800000000,24269000000,116744000000.00,97192000000,-1158000000,5580000000,10808000000,110341000000.00,-1279000000,37083000000,-4408000000,7100000000,10193000000,30690000000,267261000000.00,236571000000.00,127144000000.00
Fortinet Inc,2020,-,1083700000,2740400000,1829500000,541700000,579500000,139800000,-,488500000,448000000,491600000,341400000,1191400000,856000000,4044500000,3188500000,2594400000
Fortive Corp,2020,-,1436700000,4446900000,2860800000,1507700000,1730300000,455500000,2830300000,1613300000,422000000,539400000,320700000,1748400000,8964200000,16051500000,7087300000,4634400000
"Fortune Brands Home & Security, Inc.",2020,259400000,825700000,2208500000,1345100000,719800000,967200000,867200000,2572200000,553100000,917400000,801400000,49900000,1282600000,2775500000,7358700000,4583200000,6090300000
Fox Corp,2020,425000000,2365000000,7486000000,1906000000,1464000000,2020000000,856000000,7946000000,999000000,1498000000,2497000000,-,1741000000,10094000000,21750000000,11656000000,12303000000
Franklin Resources Inc,2020,-,1021400000,5158100000,2972300000,1116000000,1284300000,-,4350500000,798900000,813800000,1048900000,-,2472100000,10114500000,20220900000,10106400000,5566500000
Freeport-McMoRan Inc,2020,-,3017000000,9303000000,3417000000,1797000000,3923000000,3893000000,9677000000,599000000,29818000000,1964000000,50000000,370000000,10174000000,42144000000,31970000000,14198000000
Gallagher (Arthur J.) & Co.,2020,-,1752500000,11124200000,10135000000,870900000,1016000000,-,4266000000,818800000,450700000,870900000,-,3466500000,6186200000,22331400000,16145200000,7003600000
Garmin Ltd,2020,151166000,1135267000,3669351000,1164217000,1103410000,1144529000,762084000,-,992324000,855539000,1054240000,705685000,721411000,5516116000,7031373000,1515257000,4186573000
Gartner Inc,2020,-,903278000,2323058000,2947494000,326133000,658641000,-,1958286000,266745000,336765000,490150000,-,2038963000,1090428000,7315967000,6225539000,4099403000
Generac Holdings Inc,2020,53678000,486533000,1669733000,641524000,446191000,547955000,603317000,841764000,350576000,343936000,479106000,80251000,366017000,1390293000,3235423000,1845130000,2485200000
General Dynamics Corp,2020,-,3858000000,21543000000,15964000000,3738000000,4738000000,5745000000,9995000000,3167000000,5100000000,4133000000,374000000,2192000000,15661000000,51308000000,35647000000,37925000000
General Electric Co,2020,-,3597000000,88412000000,56069000000,5197000000,17015000000,15890000000,70288000000,5704000000,44662000000,-2919000000,3820000000,12621000000,35552000000,253452000000.00,217900000000.00,79619000000
General Mills Inc,2020,-,3676200000,5121300000,7491500000,2600200000,3661400000,1426300000,10929000000,2181200000,3580600000,2953900000,224400000,3151600000,8058500000,30806700000,22748200000,17626600000
General Motors Co,2020,2700000000,16670000000,80924000000,79910000000,7421000000,20759000000,10235000000,72981000000,6427000000,37632000000,6634000000,6200000000,7038000000,45030000000,235194000000.00,190164000000.00,122485000000.00
Genuine Parts Co.,2020,193900000,2014522000,7113763000,5894084000,379368000,745923000,3506271000,2516614000,-29102000,1162043000,414943000,-,4386739000,3204796000,13440215000,10235419000,16537433000
Gilead Sciences Inc,2020,795000000,8168000000,15996000000,11397000000,1669000000,2941000000,1683000000,28645000000,123000000,4967000000,4071000000,10895000000,5151000000,18202000000,68407000000,50205000000,24689000000
Global Payments Inc,2020,-,2314150000,4592360000,4549091000,593956000,2150864000,-,8466407000,584520000,1578532000,893953000,-,2878878000,27332370000,44201545000,16869175000,7423558000
Globe Life Inc,2020,-,1476434000,-,-,896684000,-,-,-,731773000,-,-,-,-,8771092000,29046731000,20275639000,4737921000
Goldman Sachs Group Inc,2020,-,-13728000000,-,-,12479000000,-,-,-,9459000000,23147000000,-,-,-,95932000000,1163028000000.00,1067096000000.00,53498000000
Grainger (W.W.) Inc.,2020,319000000,1123000000,3919000000,1441000000,947000000,1156000000,1733000000,2389000000,695000000,1395000000,1019000000,-,3219000000,1828000000,6295000000,4467000000,11797000000
Halliburton Company,2020,-,1881000000,9475000000,4421000000,-3220000000,-1657000000,2349000000,9132000000,-2945000000,4325000000,-2436000000,309000000,182000000,4974000000,20680000000,15706000000,14445000000
HanesBrands Inc,2020,130432000,448469000,3408387000,2103368000,-183122000,103846000,1491095000,3739434000,-75579000,545771000,6501000,44710000,1841763000,813958000,7698874000,6884916000,6664350000
Hartford Financial Services Group Inc.,2020,-,3871000000,-,-,2120000000,-,-,-,1737000000,1122000000,-,-,-,18556000000,74111000000,55555000000,20523000000
"Hasbro, Inc.",2020,-,976340000,3846645000,2403341000,322062000,780743000,395633000,4660015000,222519000,297255000,501814000,259522000,1664870000,2896689000,10818385000,7921696000,5465443000
HCA Healthcare Inc,2020,-,9232000000,12333000000,8704000000,5376000000,9653000000,2025000000,30795000000,3754000000,23199000000,6967000000,-,32243000000,572000000,47490000000,46918000000,51533000000
Healthpeak Properties Inc,2020,18000000,758431000,153701000,590146000,217683000,1078773000,-,6297979000,413563000,-,153897000,-,93237000,6788345000,15920089000,9131744000,1644875000
Hershey Company (The),2020,516936000,1699657000,2977905000,1891745000,1494997000,1863392000,964207000,4089755000,1278708000,2285255000,1782698000,37577000,1890925000,2234352000,9131845000,6897493000,8149719000
Hess Corp,2020,-,1333000000,3081000000,1623000000,-2850000000,-308000000,378000000,8506000000,-3093000000,14115000000,-2382000000,-,357000000,5366000000,18821000000,13455000000,4804000000
Hewlett Packard Enterprise Co,2020,143000000,2240000000,16556000000,18738000000,-509000000,2656000000,2674000000,12186000000,-322000000,5625000000,-58000000,1874000000,4624000000,16049000000,54015000000,37966000000,26982000000
Hilton Worldwide Holdings Inc,2020,-,708000000,4202000000,2431000000,-924000000,-438000000,-,10431000000,-715000000,346000000,-418000000,-,311000000,-1490000000,16755000000,18245000000,4307000000
Hologic Inc,2020,15600000,896600000,2222300000,1239300000,1001900000,1490100000,395100000,2731300000,1115200000,491500000,1105000000,222500000,840600000,2705200000,7195800000,4490600000,3776400000
Home Depot Inc,2020,1186000000,13723000000,19810000000,18375000000,14715000000,18066000000,14531000000,28670000000,11242000000,22770000000,15843000000,-,19740000000,-3116000000,51236000000,54352000000,110225000000.00
Honeywell International Inc,2020,-,6208000000,28175000000,19197000000,5946000000,6842000000,4489000000,16342000000,4779000000,5570000000,5696000000,1334000000,4772000000,17556000000,64586000000,47030000000,32637000000
Hormel Foods Corp.,2020,123600000,1128024000,3579063000,1503965000,1079175000,1270429000,1072762000,1044936000,908082000,1898222000,1064649000,31900000,761315000,6425548000,9908282000,3482735000,9608462000
Horton (DR) Inc,2020,41700000,1421600000,15547800000,1861600000,2982300000,3051700000,12237400000,4283300000,2373700000,683700000,2922800000,-,2047800000,11840000000,18912300000,7072300000,20311100000
Host Hotels & Resorts Inc,2020,-,-307000000,2335000000,71000000,-931000000,-72000000,-,5541000000,-732000000,-,-953000000,-,-,6321000000,12890000000,6569000000,1620000000
