Company Name,Year,Advertising % TR,Calculated Tax Rate %,Current Ratio,Earnings Before Tax Margin %,EBITDA Margin %,Gross Margin %,Interest Coverage,Inventories % TA,Inventory Turnover,LT Debt to Equity,Net Current Assets % TA,Net PPE % TA,Net PPE Turnover,Net Profit Margin %,Operating Margin %,Quick Ratio,R&D % TR,Revenue per Employee,ROA % (Net),ROE % (Net),ROI % (Operating),Selling Gen & Admin % TR,Total Asset Turnover,Total Debt to Equity
CVS Health Corporation,2020,0.17,26.29,0.91,3.64,5.50,18.25,4.79,8.02,12.20,0.85,-2.45,5.46,21.74,2.67,5.18,0.53,-,893239,3.16,10.75,10.42,-,1.18,0.93
Danaher Corp,2020,-,18.89,1.86,20.17,29.05,55.98,20.74,3.01,5,0.53,8.40,4.28,7.99,16.36,18.99,1.36,6.05,322074,5.26,10.38,7.47,30.95,0.32,0.53
"Darden Restaurants, Inc.",2020,-,-,0.61,-2.06,3.23,18.04,0.84,2.08,30.90,0.40,-6.95,27.72,2.89,-0.67,0.61,0.45,-,43175,-0.65,-2.18,1.38,7.87,0.97,0.51
DaVita Inc,2020,-,24.31,1.27,11.18,19.15,30.84,5.48,0.66,76.24,5.72,3.96,20.73,3.29,6.70,14.44,1.10,-,171926,4.50,43.87,16.88,10.80,0.67,5.84
Deere & Co.,2020,0.55,27.87,0.77,10.93,16.69,29.80,4.11,6.66,4.35,2.53,-7.13,7.75,6.05,7.74,14.43,0.52,4.63,511785,3.73,22.66,8.89,9.78,0.48,3.56
Delta Air Lines Inc (DE),2020,0.70,-,1.09,-91.18,-72.29,37.44,-,1.02,10.79,17.88,2.05,36.85,0.59,-72.45,-72.94,0.97,-,230382,-18.09,-146.24,-43.47,54.61,0.25,19.01
DENTSPLY SIRONA Inc,2020,-,-,1.36,-1.80,9.61,49.58,-,4.99,3.28,0.40,5.07,8.47,4.18,-2.48,-0.36,0.84,3.44,222191,-0.92,-1.65,-0.17,42.94,0.37,0.46
Devon Energy Corp.,2020,-,-,2.26,-64,-31.96,35.05,-,-,-,1.49,18.36,54.41,0.69,-55.51,-58.91,1.97,-,3439149,-22.62,-61.53,-32.83,7,0.41,1.49
DexCom Inc,2020,3.97,-119.38,5.58,11.68,19.40,66.44,3.54,5.47,3.65,0.94,65.51,12.01,4.59,25.62,15.54,5.11,18.68,300224,14.73,36.34,10.85,32.22,0.57,0.94
"Diamondback Energy, Inc.",2020,-,-,0.49,-204.98,-197.33,69.25,-,0.19,24.71,0.64,-3.60,92.03,0.15,-160.58,-194.67,0.35,-,3832396,-21.89,-40.87,-32.87,3.13,0.14,0.66
Digital Realty Trust Inc,2020,-,8.30,0.65,11.74,57.51,61.21,1.78,-,-,0.75,-3.09,-,-,9.13,14.28,0.22,-,1352656,1.20,2.57,2.18,9,0.13,0.75
Discover Financial Services,2020,-,20.49,-,11.08,-,-,-,-,-,-,-,0.91,12.40,8.81,-,-,-,733955,1,10.01,-,-,0.11,1.95
Discovery Inc,2020,3.86,20.35,1.99,17.18,25.66,63.83,3.94,-,-,1.44,8.94,3.54,9.87,11.42,23.57,1.50,-,1085902,3.58,11.94,9.80,25.51,0.31,1.47
DISH Network Corp,2020,-,27.15,1.15,16.60,21.15,35.24,-,0.99,28.54,0.99,2.45,5.71,6.32,11.38,16.67,0.79,-,1144526,4.92,13.87,9.33,11.66,0.43,1.14
Disney (Walt) Co. (The),2020,7.19,-,1.32,-3.66,6.79,32.89,-,0.79,27.15,0.63,4.28,15.92,2.02,-4.38,-2.97,1.15,-,316899,-1.42,-3.27,-1.37,18.92,0.33,0.70
Dollar General Corp,2020,0.33,22.22,1.14,7.93,10.10,30.59,22.89,20.49,4.39,0.43,2.78,14.36,8.91,6.17,8.30,0.05,-,194617,9.53,26.18,24.43,22.29,1.54,0.43
Dollar Tree Inc,2020,0.44,24.73,1.20,4.65,7.80,29.82,7.79,17.99,4.70,0.56,3.69,19.83,6.46,3.50,5.35,0.18,-,122608,5.01,13.94,12.70,23.15,1.43,0.60
Dominion Energy Inc (New),2020,-,5.88,0.64,9.96,39.68,51.52,1.45,1.62,4.17,1.30,-4.13,60.32,0.22,-2.83,14.07,0.25,-,816953,-0.40,-1.38,3.11,6.15,0.14,1.34
Dominos Pizza Inc.,2020,11.23,11.50,1.85,13.48,19.34,38.73,4.26,4.26,42.18,-,25.43,18.97,15,11.93,17.62,0.86,-,281307,32.78,-,94.11,21.10,2.75,-
Dover Corp,2020,0.32,18.80,1.51,12.59,16.31,37.02,8.61,9.13,5.13,0.92,9.62,9.80,7.66,10.23,13.96,0.94,2.13,289804,7.65,21.24,14.77,23.06,0.75,0.92
Dow Inc,2020,-,37.19,1.72,5.42,13.94,13.48,2.04,9.27,5.60,1.33,12.98,32.93,1.86,3.18,4.17,1.12,1.99,1076658,2,9.41,5.34,3.82,0.63,1.38
DTE Energy Co,2020,-,10.86,1.30,12.63,19.29,31.81,2.91,1.57,11.26,1.53,1.77,61.48,0.46,11.23,16.31,0.85,-,1145635,3.12,11.32,6.49,0,0.28,1.57
Duke Energy Corp,2020,-,-8.30,0.53,11.92,43.82,48.47,2.14,1.95,3.84,1.16,-4.69,65.76,0.23,5.77,19.08,0.21,-,864456,0.85,2.90,4.15,0,0.15,1.31
Duke Realty Corp,2020,-,-1.79,0.96,28.75,67.91,35.87,2.92,-,-,0.66,-0.09,-,-,30.20,26.96,0.93,-,2829955,3.41,5.88,3.24,6.28,0.11,0.66
DuPont de Nemours Inc,2020,-,-,2.31,-15.14,3.79,33.71,-,5.25,3.36,0.57,8.71,14.08,2.02,-14.47,-14.69,1.30,4.22,598273,-4.20,-7.40,-5.03,13.87,0.29,0.57
DXC Technology Co,2020,-,-,1.14,-26.70,-22.31,23.89,-,-,-,1.81,4.20,13.64,5.81,-27.43,-32.50,1.02,-,141475,-19.27,-66.16,-37.83,10.47,0.70,2.08
Eastman Chemical Co,2020,-,7.74,1.74,6.26,13.99,23.31,3.53,8.57,4.27,0.87,9.35,34.50,1.52,5.64,8.75,1.02,2.67,582748,2.97,7.96,6.32,7.72,0.53,0.93
Eaton Corp plc,2020,-,18.96,1.56,9.78,12.90,30.52,12.24,6.63,5.05,0.47,10.36,9.31,5.51,7.90,10.21,0.68,3.09,193578,4.35,9.07,7.68,17.22,0.55,0.54
eBay Inc.,2020,11.68,25.67,1.80,33.30,42.11,75.92,9.10,-,-,2.17,16.51,7.03,7.14,55.17,26.39,1.06,10.58,806530,30.15,175.76,24.63,35.46,0.55,2.18
Ecolab Inc,2020,-,15.21,1.75,9.85,17.35,41.43,4.81,7.09,4.95,1.08,12.06,17.24,3.32,-10.22,11.84,1.20,1.57,267227,-6.16,-16.18,9.98,28.07,0.60,1.08
Edison International,2020,-,-53.89,0.49,4.17,23.92,37.10,1.38,0.58,22.21,1.40,-7.52,68.96,0.29,5.44,8.96,0.24,-,1014224,1.10,5.39,3.50,0,0.20,1.64
Edwards Lifesciences Corp,2020,-,10.18,3.46,20.90,23.05,75.36,-,11.09,1.50,0.13,30.36,19.28,3.56,18.77,20.46,2.24,17.34,293578,11.97,18.83,18.06,28.01,0.64,0.13
"Electronic Arts, Inc.",2020,3.52,-101.53,2.45,27.23,28.79,75.28,-,-,-,0.05,34.67,4.04,12.31,54.89,26.10,2.33,28.16,563456,30.20,47.38,19.50,20.53,0.55,0.13
Emerson Electric Co.,2020,-,14.78,1.52,13.91,19.15,41.76,15.97,8.43,5.13,0.75,13.20,16.12,4.57,11.71,14.84,1.06,2.62,200469,9.03,23.56,16.65,23.82,0.77,0.89
Enphase Energy Inc.,2020,-,-12.21,1.75,15.42,19.11,44.68,9.89,3.48,11.61,0.01,33.25,3.58,21.48,17.30,24.07,1.60,7.22,908599,13.97,35.34,31.18,13.38,0.81,0.68
Entergy Corp,2020,-,-9.45,0.65,12.71,38.92,40.04,4.50,1.95,5.76,1.90,-4.29,66.71,0.27,13.91,17.49,0.43,-,752687,2.55,12.95,5.39,0,0.18,2.15
"EOG Resources, Inc.",2020,-,-,1.69,-6.70,25.98,79.42,-,1.76,3.25,0.25,6.71,79.87,0.37,-5.48,-4.93,1.40,-,3793761,-1.65,-2.87,-2.05,28.84,0.30,0.29
Equifax Inc,2020,1.43,23.20,1,16.60,29.71,57.91,4.78,-,-,1.03,-0.05,11.85,3.94,12.60,16.39,0.93,-,361072,5.92,18.05,9.99,32.04,0.47,1.38
Equinix Inc,2020,-,28.31,1.29,8.61,38.97,48.75,2.64,-,-,1.14,2.16,53.70,0.45,6.16,17.53,1.15,-,597439,1.45,3.79,4.79,30.16,0.23,1.17
Equity Residential,2020,-,0.09,0.21,36.26,82.49,64.37,2.14,-,-,0.76,-1.81,-,-,35.53,30.57,0.18,-,986415,4.40,8.74,4.13,1.88,0.12,0.76
Essex Property Trust Inc,2020,-,0.29,1.31,35.72,82.04,82.28,2.37,-,-,1.04,0.78,-,-,38.03,28.51,1.29,-,829161,4.42,9.28,3.50,6.68,0.12,1.04
Etsy Inc,2020,-,4.50,4.17,21.19,25.71,73.07,12.14,-,-,1.49,59.89,4.68,13.37,20.24,24.57,3.72,10.44,1217051,17.65,60.62,27.18,38.06,0.87,1.50
Everest Re Group Ltd,2020,-,12.16,-,6.10,-,-,-,-,-,-,-,-,-,5.36,-,-,-,5482182,1.71,5.44,-,-,0.32,0.20
Evergy Inc,2020,-,14.12,0.69,14.73,38.92,48.61,2.98,1.86,5.12,1.05,-2.70,74.15,0.25,12.58,23.28,0.33,-,954603,2.32,7.13,6.07,0,0.18,1.18
Eversource Energy,2020,-,22.21,0.64,17.51,34.57,49.82,3.69,0.58,17.83,1.11,-3.87,66.99,0.30,13.53,22.33,0.31,-,954952,2.76,9,6.58,6.02,0.20,1.28
Exelon Corp,2020,-,15.99,0.98,7.06,32.70,28.84,1.71,1.33,13.47,1.09,-0.16,63.86,0.40,5.94,8.47,0.41,-,1018823,1.54,6.04,3.93,0,0.26,1.21
Expedia Group Inc,2020,23.08,-,1.04,-57.88,-30.76,67.69,-,-,-,3.24,1.22,12.08,2.33,-50.24,-52.30,0.76,-,271455,-12.99,-80.16,-27.59,60.45,0.26,3.24
"Expeditors International of Washington, Inc.",2020,-,27.01,2.09,9.46,9.92,28.94,-,-,-,-,42.02,10.28,20.06,6.88,9.30,1.86,-,577165,16.11,28.60,38.64,17.07,2.34,-
Extra Space Storage Inc,2020,2.09,2.71,0.12,37.53,65.14,71.46,4.12,-,-,1.88,-10.12,-,-,35.52,47.78,0.09,-,337031,5.36,18.89,8.14,7.12,0.15,2.26
Exxon Mobil Corp,2020,-,-,0.80,-15.91,10.07,31.44,-,5.66,6.66,0.30,-3.45,68.39,0.75,-12.36,-15.28,0.44,0.56,2513974,-6.44,-12.83,-11.93,20.66,0.52,0.43
"F5 Networks, Inc.",2020,0.33,22.44,1.39,16.86,19.39,82.65,51.25,0.60,13.09,0.17,10.80,4.90,10.36,13.08,16.69,1.17,18.77,383761,7.60,15.35,17.85,46.86,0.58,0.17
Facebook Inc,2020,2.63,12.16,5.05,38.60,45.25,80.58,-,-,-,-,38.09,28.64,2.12,33.90,38.01,4.89,21.46,1462946,19.86,25.35,28.41,21.12,0.59,-
Fastenal Co.,2020,-,24.15,4.08,20.06,23.09,45.47,125.32,33.74,2.28,0.13,47.59,26,5.48,15.21,20.19,1.64,-,276547,22.07,31.74,36.99,25.28,1.45,0.15
Federal Realty Investment Trust (MD),2020,-,-,3,17.23,63.84,65.27,1.42,-,-,1.74,8.74,-,-,15.76,22.91,2.98,-,2679136,1.82,5.25,3.02,4.99,0.12,1.74
FedEx Corp,2020,0.62,22.95,1.58,2.41,8.53,55.44,3.92,0.78,48.40,1.20,8.21,45.70,2.16,1.86,3.49,1.45,-,281746,2,7.11,6.37,36.16,1.08,1.20
Fidelity National Information Services Inc,2020,-,36.09,0.80,2.12,6.79,33.49,1.65,-,-,0.32,-2.94,1.06,14.01,1.26,4.40,0.51,-,201898,0.19,0.32,0.79,28.01,0.15,0.41
"Fifth Third Bancorp (Cincinnati, OH)",2020,-,20.59,-,21.39,-,-,-,-,-,-,-,1.02,4.10,16.98,-,-,-,421651,0.76,6.42,-,-,0.04,0.64
"First Republic Bank (San Francisco, CA)",2020,-,20.23,-,29.60,-,-,-,-,-,-,-,0.28,11.37,23.61,-,-,-,819732,0.82,9.83,-,-,0.03,0.15
FirstEnergy Corp,2020,-,11.16,0.74,10.46,31.43,71.55,2.19,0.71,10.27,3.06,-2.90,74.88,0.33,10,20.04,0.63,-,885421,2.48,15.14,7.22,0,0.25,3.38
Fiserv Inc,2020,-,16.74,1.04,7.88,30.54,47.40,1.96,-,-,0.63,0.78,2.18,9.16,6.45,9.35,0.22,-,336623,1.26,2.93,2.57,38.06,0.19,0.64
FleetCor Technologies Inc,2020,1.19,20.92,1,35.69,43.85,-,7.49,-,-,0.93,-0.11,1.81,11.84,29.48,40.70,0.75,-,283610,5.99,19.88,13.13,48.72,0.20,1.08
FMC Corp.,2020,-,20.68,1.55,15.72,20.52,44.20,5.97,10.76,2.45,0.99,15.18,7.58,6.05,11.88,19.44,1.02,6.20,723346,5.48,20.02,14.97,15.72,0.46,1.10
Ford Motor Co. (DE),2020,2.20,-,1.20,-0.91,4.39,11.32,-,4.04,10.44,3.60,7.32,13.88,3.45,-1.01,-3.47,1.05,5.58,681702,-0.49,-3.99,-2.31,8.02,0.48,5.27
Fortinet Inc,2020,-,9.82,1.50,20.88,22.34,78.03,-,3.46,4.42,-,22.52,11.08,6.53,18.83,18.95,1.40,13.16,314070,12.29,44.74,45.02,45.92,0.65,-
Fortive Corp,2020,-,3.68,1.55,32.53,37.34,56.29,3.63,2.84,3.70,0.32,9.88,2.63,9.82,34.81,11.64,1.31,6.92,271867,9.61,19.68,4,37.73,0.28,0.47
"Fortune Brands Home & Security, Inc.",2020,4.26,23.45,1.64,11.82,15.88,35.54,9.55,11.78,4.95,0.93,11.73,12.47,6.97,9.08,13.16,0.85,0.82,220860,8.08,21.21,16.05,21.06,0.89,0.93
Fox Corp,2020,3.45,27.46,3.93,11.90,16.42,36.54,7.48,3.94,7.87,0.79,25.66,6.89,8.73,8.12,20.30,3.42,-,1363265,4.83,9.94,14.34,14.15,0.59,0.79
Franklin Resources Inc,2020,-,20.68,1.74,20.05,23.07,69.40,54.92,-,-,0.43,10.81,4.02,7.41,14.35,18.84,1.73,-,470448,4.59,7.96,8.33,44.41,0.32,0.43
Freeport-McMoRan Inc,2020,-,52.53,2.72,12.66,27.63,17.91,3.28,9.24,2.54,0.95,13.97,70.75,0.48,4.22,13.83,1.48,0.35,242868,1.44,6.14,10.04,2.61,0.34,0.95
Gallagher (Arthur J.) & Co.,2020,-,1.47,1.10,12.44,14.51,69.49,113.78,-,-,0.69,4.43,2.02,15.22,11.69,12.44,0.71,-,215563,3.89,14.40,8.48,49.50,0.33,0.73
Garmin Ltd,2020,3.61,10.07,3.15,26.36,27.34,59.27,-,10.84,2.25,-,35.63,12.17,5.30,23.70,25.18,2.32,16.86,262380,15.08,19.30,20.51,17.23,0.64,-
Gartner Inc,2020,-,18.21,0.79,7.96,16.07,67.19,4.32,-,-,1.80,-8.54,4.60,12,6.51,11.96,0.66,-,262064,3.68,26.22,15.79,49.74,0.57,1.81
Generac Holdings Inc,2020,2.16,22.18,2.60,17.95,22.05,38.53,14.52,18.65,2.71,0.61,31.78,10.63,7.50,14.11,19.28,1.59,3.23,364633,11.85,28.86,22.72,14.73,0.84,0.64
General Dynamics Corp,2020,-,15.28,1.35,9.86,12.49,16.68,8.66,11.20,5.24,0.64,10.87,9.94,7.90,8.35,10.90,0.88,0.99,375585,6.31,21.60,15.22,5.78,0.76,0.83
General Electric Co,2020,-,-9.12,1.58,6.53,21.37,20.62,-,6.27,4.21,1.98,12.76,17.62,1.81,7.16,-3.67,1.27,4.80,456330,2.19,17.81,-2.55,15.85,0.31,2.11
General Mills Inc,2020,-,18.48,0.68,14.75,20.77,34.78,6.33,4.63,7.70,1.36,-7.69,11.62,4.71,12.37,16.76,0.45,1.27,495472,7.05,28.40,13.47,17.88,0.57,1.68
General Motors Co,2020,2.20,23.91,1.01,6.06,16.95,11.16,8.46,4.35,10.55,1.62,0.43,16,3.20,5.25,5.42,0.79,5.06,788067,2.77,14.76,4.41,5.75,0.53,2.44
Genuine Parts Co.,2020,1.17,56.93,1.21,2.29,4.51,34.19,4.43,26.09,2.97,0.79,9.07,8.65,13.88,-0.18,2.51,0.43,-,329845,-0.21,-0.84,6.37,26.53,1.17,0.84
Gilead Sciences Inc,2020,3.22,94.67,1.40,6.76,11.91,81.48,4.14,2.46,3.51,1.57,6.72,7.26,5.20,0.50,16.49,1.08,44.13,1810408,0.19,0.60,8.39,20.86,0.38,1.73
Global Payments Inc,2020,-,12.99,1.01,8,28.97,50.82,2.98,-,-,0.31,0.10,3.57,5,7.87,12.04,0.60,-,308470,1.31,2.11,2.40,38.78,0.17,0.35
Globe Life Inc,2020,-,18.39,-,18.93,-,-,-,-,-,-,-,-,-,15.45,-,-,-,1448935,2.65,9.09,-,-,0.17,0.19
Goldman Sachs Group Inc,2020,-,24.20,-,23.33,-,-,-,-,-,-,-,1.99,2.37,17.68,-,-,-,1317329,0.88,10.13,-,-,0.05,2.76
Grainger (W.W.) Inc.,2020,2.70,20.27,2.72,8.03,9.80,35.92,10.96,27.53,4.46,1.31,39.36,22.16,8.42,5.89,8.64,1.42,-,509297,11.27,37.64,24.50,27.29,1.91,1.31
Halliburton Company,2020,-,-,2.14,-22.29,-11.47,10.70,-,11.36,4.70,1.84,24.44,20.91,2.48,-20.39,-16.86,1.27,2.14,360138,-12.75,-45.23,-14.67,1.26,0.63,1.98
HanesBrands Inc,2020,1.96,-,1.62,-2.75,1.56,27.73,0.04,19.37,2.84,4.59,16.95,7.09,11.57,-1.13,0.10,0.82,0.67,107485,-0.99,-7.25,0.14,27.64,0.87,4.92
Hartford Financial Services Group Inc.,2020,-,18.07,-,10.33,-,-,-,-,-,-,-,1.51,17.77,8.46,-,-,-,1106320,2.39,9.95,-,-,0.28,0.23
"Hasbro, Inc.",2020,-,30,1.60,5.89,14.29,68.55,2.59,3.66,4.08,1.61,13.34,2.75,19.83,4.07,9.18,1.18,4.75,803351,2.27,7.57,6.69,30.46,0.56,1.76
HCA Healthcare Inc,2020,-,19.40,1.42,10.43,18.73,-,4.40,4.26,26.53,53.84,7.64,48.85,2.24,7.28,13.52,1.02,-,144767,8.09,-,22.24,62.57,1.11,54.20
Healthpeak Properties Inc,2020,1.09,-4.33,0.26,13.23,65.58,18.75,0.70,-,-,0.93,-2.74,-,-,25.14,9.36,0.13,-,7559359,2.75,6.41,1.20,5.67,0.11,0.93
Hershey Company (The),2020,6.34,14.69,1.57,18.34,22.86,45.42,11.93,10.56,5,1.83,11.89,25.03,3.66,15.69,21.87,0.93,0.46,481484,14.77,64.18,27.69,23.20,0.94,2.06
Hess Corp,2020,-,-,1.90,-59.33,-6.41,52.58,-,2.01,7.13,1.59,7.75,75,0.31,-64.38,-49.58,1.60,-,2955505,-15.19,-43.76,-15.84,7.43,0.24,1.59
Hewlett Packard Enterprise Co,2020,0.53,-,0.88,-1.89,9.84,32.39,-,4.95,7.21,0.76,-4.04,10.41,4.61,-1.19,-0.21,0.61,6.95,453001,-0.61,-1.94,-0.18,17.14,0.51,0.99
Hilton Worldwide Holdings Inc,2020,-,-,1.73,-21.45,-10.17,13.54,-,-,-,-,10.57,2.07,11.83,-16.60,-9.71,1.64,-,30463,-4.50,-,-5.05,7.22,0.27,-
Hologic Inc,2020,0.41,-10.84,1.79,26.53,39.46,58.98,9.85,5.49,3.09,1.01,13.66,6.83,7.87,29.53,29.26,1.39,5.89,651320,16.40,46.39,20.23,22.26,0.56,1.13
Home Depot Inc,2020,1.08,23.60,1.08,13.35,16.39,34.09,14.05,28.36,5.11,-,2.80,44.44,4.90,10.20,14.37,0.23,-,265884,23.67,-,57.05,17.91,2.32,-
Honeywell International Inc,2020,-,19.29,1.47,18.22,20.96,32.07,22.60,6.95,4.98,0.93,13.90,8.62,5.97,14.64,17.45,1.15,4.09,315998,7.73,26.44,15.26,14.62,0.53,1.28
Hormel Foods Corp.,2020,1.29,19.13,2.38,11.23,13.22,19,-,10.83,7.36,0.16,20.94,19.16,5.46,9.45,11.08,1.62,0.33,504443,10.11,14.75,15.36,7.92,1.07,0.20
Horton (DR) Inc,2020,0.21,20.20,8.35,14.68,15.02,24.31,381.85,64.71,1.31,0.36,72.37,3.62,35.35,11.69,14.39,1.74,-,2084768,13.72,21.66,19.73,10.08,1.17,0.36
Host Hotels & Resorts Inc,2020,-,-,32.89,-57.47,-4.44,-12.28,-,-,-,0.88,17.56,-,-,-45.19,-58.83,32.67,-,9911496,-5.79,-10.70,-8.27,-,0.13,0.88
Howmet Aerospace Inc,2020,-,-23.39,2.21,3.25,16.92,26.26,1.64,13,1.98,1.31,17.58,22.65,1.30,4.96,11.90,1.18,0.32,266225,1.79,6.36,6.50,5.27,0.36,1.42
HP Inc,2020,1.02,11.98,0.79,5.70,7.51,18.43,14.49,17.19,7.90,-,-16.07,7.57,20.84,5.02,6.11,0.48,2.61,1065741,8.32,-,87.04,8.66,1.66,-
Humana Inc.,2020,-,28.41,-,5.96,-,-,-,-,-,-,-,6.78,35.57,4.36,-,-,-,1551294,10.49,26.06,-,-,2.40,0.46
"Hunt (J.B.) Transport Services, Inc.",2020,-,24.02,1.70,6.91,7.54,44.88,15.14,0.40,236.54,0.50,12.77,62.22,2.63,5.25,7.40,1.49,-,317076,8.85,20.74,19.05,28.54,1.69,0.50
Huntington Bancshares Inc,2020,-,15.95,-,18.56,-,-,-,-,-,-,-,0.62,6.87,15.60,-,-,-,335325,0.70,6.57,-,-,0.05,0.64
"Huntington Ingalls Industries, Inc.",2020,-,14.07,1.10,8.65,12.51,17.84,7.01,1.68,56.34,0.89,2.67,36.51,3.21,7.44,8.54,0.40,0.33,222272,9.14,39.79,24.67,9.66,1.23,0.89
IDEX Corporation,2020,0.42,19.68,4.15,20,23.68,43.69,11.64,6.57,4.54,0.41,28.50,6.76,8.11,16.06,22.14,3.29,2.05,331480,9.16,15.69,15.51,21.05,0.57,0.41
"Idexx Laboratories, Inc.",2020,0.05,12.06,1.82,24.46,28.84,58.04,21.34,9.15,5.61,1.36,20.92,24.19,4.96,21.49,25.66,1.21,5.22,290243,28.12,143.33,51.20,27.17,1.31,1.44
IHS Markit Ltd,2020,1.85,1.51,0.62,20.60,31.17,62.92,4.88,-,-,0.54,-4.62,4.49,6.18,20.31,26.83,0.51,-,267255,5.39,10.25,8.51,26.31,0.27,0.58
"Illinois Tool Works, Inc.",2020,0.34,22,2.52,21.50,26.40,41.35,15.25,7.62,6.27,2.44,25.20,11.38,7.15,16.77,22.92,1.96,1.70,291620,13.71,67.77,26.03,17.20,0.82,2.55
Illumina Inc,2020,0.86,23.36,3.60,26.43,32.45,68.01,72.50,4.90,2.76,0.14,42.70,12.16,3.52,20.25,17.91,3.18,21.06,340815,8.66,13.87,9.81,29.05,0.43,0.25
Incyte Corporation,2020,-,-,3.74,-7.10,-5.91,95.08,-,0.46,9.44,0.01,48.55,15.72,5.68,-11.09,-8.28,3.62,83.10,1499953,-8.44,-11.32,-8.32,19.38,0.76,0.01
Ingersoll Rand Inc,2020,-,-,2.58,-0.40,12.07,32.86,0.77,5.88,4.56,0.42,14.72,4.96,8.71,-0.68,1.75,1.81,1.45,307974,-0.32,-0.60,1.04,18.22,0.47,0.43
Intel Corp,2020,0.98,16.66,1.91,32.21,48.57,56.01,46.98,5.50,3.99,0.42,14.69,36.96,1.39,26.84,30.41,1.24,17.41,705976,14.47,26.41,21.19,7.94,0.54,0.45
Intercontinental Exchange Inc,2020,-,23.79,0.99,33.55,42.16,73.22,8.74,-,-,0.72,-0.62,1.36,5.06,25.34,36.79,0.02,-,924800,1.89,11.34,9.90,26.04,0.07,0.85
International Business Machines Corp,2020,-,-18.63,0.98,6.30,17,48.32,5.21,1.18,22,2.64,-0.45,6.44,7.32,7.59,8.37,0.83,8.60,195627,3.62,26.91,7.41,25.71,0.48,2.99
International Flavors & Fragrances Inc.,2020,-,16.77,1.61,8.68,17.63,41.03,4.33,8.35,2.66,0.60,8.53,10.76,3.56,7.14,11.22,0.83,7.02,370098,2.70,5.78,5.33,18.66,0.38,0.70
International Paper Co,2020,-,37.69,1.36,3.16,11.15,30.16,3.34,6.46,6.75,1.03,9.31,38.52,1.63,2.34,7.21,0.44,-,416304,1.47,6.18,8.85,14.92,0.63,1.03
Interpublic Group of Companies Inc.,2020,-,2.21,0.98,3.99,8.04,14.92,3.62,-,-,1.01,-1.18,3.83,12.31,3.87,6.49,0.94,-,180005,1.96,12.35,9.42,0.65,0.50,1.20
Intuit Inc,2020,10.13,16.92,2.26,28.62,31.18,82.05,-,-,-,0.40,40.72,6.71,10.12,23.78,28.34,2.04,18.13,722455,21.16,41.13,34.28,35.51,0.89,0.66
Intuitive Surgical Inc,2020,-,11.62,6.86,27.69,30.29,65.65,-,5.39,2.50,-,50.68,14.12,3.05,24.33,24.09,6.11,13.65,541214,10.12,11.76,11.64,27.91,0.42,-
Invesco Ltd,2020,-,26.25,6.58,16.21,20.28,-,8.46,-,-,0.61,44.27,1.54,10.68,8.54,14.98,3.96,-,720020,1.38,3.71,4.05,46.93,0.16,0.61
IPG Photonics Corp,2020,-,22.05,10.01,17.13,23.14,44.89,-,12.43,1.77,0.01,65.86,20.35,2,13.29,16.54,7.71,10.57,197598,5.62,6.37,7.81,15.04,0.42,0.01
IQVIA Holdings Inc,2020,-,19.30,1.12,3.28,8.07,33.97,1.78,-,-,2.06,2.17,1.96,24.10,2.46,6.44,0.95,-,161828,1.16,4.64,4.03,15.75,0.47,2.09
Iron Mountain Inc (New),2020,-,7.94,0.64,8.99,29.87,57.63,1.36,-,-,7.49,-5.13,31.82,0.91,8.26,13.77,0.53,-,172331,2.44,26.28,5.71,22.89,0.30,7.66
"Jack Henry & Associates, Inc.",2020,-,22.15,1.35,22.45,25.50,40.58,-,-,-,0,7.18,11.26,6.20,17.48,22.43,1.02,6.48,251962,12.83,19.86,25.48,11.67,0.73,0
"Jacobs Engineering Group, Inc.",2020,-,12.54,1.54,3.25,5.01,19.07,9.33,-,-,0.29,12.93,2.59,42.54,3.63,3.95,1.49,-,242683,4.06,8.39,7.22,15.12,1.12,0.29
Johnson & Johnson,2020,2.54,10.81,1.21,19.98,23.23,65.58,216.51,5.34,3.10,0.52,5,10.73,4.46,17.82,23.60,0.91,14.94,595663,8.70,23.59,20.65,26.74,0.49,0.56
Johnson Controls International plc,2020,-,11.96,1.22,4.05,8.70,33.21,4.44,4.34,8.31,0.43,4.42,7.49,6.95,2.83,4.32,0.88,-,229444,1.51,3.38,3.68,25.38,0.54,0.45
JPMorgan Chase & Co,2020,-,17.73,-,27.34,-,-,-,-,-,-,-,0.80,4.88,22.49,-,-,-,505771,0.96,10.75,-,-,0.04,1.02
Juniper Networks Inc,2020,0.49,2.79,1.51,5.97,10.74,57.90,46.13,-,-,0.38,11.84,8.13,5.56,5.80,7.94,1.27,21.56,1539220,2.82,5.62,5.43,26.87,0.49,0.47
Kansas City Southern,2020,-,24.75,1.31,31.32,50.65,70.96,6.65,1.28,5.50,0.93,1.50,90.30,0.29,23.44,38.10,0.90,-,402546,6.23,14.51,12.91,18.10,0.27,0.93
Kellogg Co,2020,5.67,20.17,0.66,11.63,17.15,34.33,6.27,7.13,7.21,2.17,-9.76,20.63,3.70,9.08,12.79,0.36,0.98,437010,6.92,42.01,16.30,21.54,0.76,2.40
KeyCorp,2020,-,14.59,-,21.21,-,-,-,-,-,-,-,0.44,9.34,18.30,-,-,-,434860,0.85,7.65,-,-,0.05,0.73
